actor_id,movie_id
nm0000001,tt0072308
nm0000002,tt0071877
nm0000003,tt0049189
nm0000004,tt0072562
nm0000005,tt0050976
nm0000006,tt0038109
nm0000007,tt0034583
nm0000008,tt0078788
nm0000009,tt0061184
nm0000010,tt0055256
nm0000011,tt0034167
nm0000012,tt0031210
nm0000013,tt0048317
nm0000014,tt0029843
nm0000015,tt0048545
nm0000016,tt0069946
nm0000017,tt0021156
nm0000018,tt0052365
nm0000019,tt0071129
nm0000020,tt0032551
nm0000021,tt0039504
nm0000022,tt0052278
nm0000023,tt0047522
nm0000024,tt0071877
nm0000025,tt0100802
nm0000026,tt0036613
nm0000027,tt0051739
nm0000028,tt0040552
nm0000029,tt0077800
nm0000030,tt0058385
nm0000031,tt0082846
nm0000032,tt0049833
nm0000033,tt0030341
nm0000034,tt0043014
nm0000035,tt0499549
nm0000036,tt0017925
nm0000037,tt0043278
nm0000038,tt0044706
nm0000039,tt0050105
nm0000040,tt0120663
nm0000041,tt0047478
nm0000042,tt0038369
nm0000043,tt0034881
nm0000044,tt0053793
nm0000045,tt0070034
nm0000046,tt0031381
nm0000047,tt0054749
nm0000048,tt0036613
nm0000049,tt0085101
nm0000050,tt0023969
nm0000051,tt0046672
nm0000052,tt0076085
nm0000053,tt0048424
nm0000054,tt0048605
nm0000055,tt0434409
nm0000056,tt0061512
nm0000057,tt0061452
nm0000058,tt0039628
nm0000059,tt0069281
nm0000060,tt0056592
nm0000061,tt0032762
nm0000062,tt0053848
nm0000063,tt0049456
nm0000064,tt0036775
nm0000065,tt0056801
nm0000066,tt0045810
nm0000067,tt0052618
nm0000068,tt0049743
nm0000069,tt0052218
nm0000070,tt0031381
nm0000071,tt0032904
nm0000072,tt0053318
nm0000073,tt0032264
nm0000074,tt0037008
nm0000075,tt0055031
nm0000076,tt0053198
nm0000077,tt0034248
nm0000078,tt0065126
nm0000079,tt0250494
nm0000080,tt0059012
nm0000081,tt0057263
nm0000082,tt0045061
nm0000083,tt0170560
nm0000084,tt0101640
nm0000085,tt0097738
nm0000086,tt0069747
nm0000087,tt5847740
nm0000088,tt0191104
nm0000089,tt0088529
nm0000090,tt0963178
nm0000091,tt0064297
nm0000092,tt0085959
nm0000093,tt1210166
nm0000094,tt0118886
nm0000095,tt0097123
nm0000096,tt0106179
nm0000097,tt0115624
nm0000098,tt0108778
nm0000099,tt0412175
nm0000100,tt0274166
nm0000101,tt0118747
nm0000102,tt0361127
nm0000103,tt0120586
nm0000104,tt0120746
nm0000105,tt0090685
nm0000106,tt0151738
nm0000107,tt0119488
nm0000108,tt2872732
nm0000109,tt0119271
nm0000110,tt0116477
nm0000111,tt0086567
nm0000112,tt0113189
nm0000113,tt0212346
nm0000114,tt0162346
nm0000115,tt0113627
nm0000116,tt0120338
nm0000117,tt0134084
nm0000118,tt0077651
nm0000119,tt0111503
nm0000120,tt0338013
nm0000121,tt0087363
nm0000122,tt0027977
nm0000123,tt2177771
nm0000124,tt0102803
nm0000125,tt0059800
nm0000126,tt0099348
nm0000127,tt0087800
nm0000128,tt1707386
nm0000129,tt0325710
nm0000130,tt1502407
nm0000131,tt0098258
nm0000132,tt1796960
nm0000133,tt0091064
nm0000134,tt0081398
nm0000135,tt4649466
nm0000136,tt0325980
nm0000137,tt0114694
nm0000138,tt0120338
nm0000139,tt0160127
nm0000140,tt0093010
nm0000141,tt0904208
nm0000142,tt0112579
nm0000143,tt0106400
nm0000144,tt0107977
nm0000145,tt0098936
nm0000146,tt0387131
nm0000147,tt1504320
nm0000148,tt0090329
nm0000149,tt0075314
nm0000150,tt0116365
nm0000151,tt0097239
nm0000152,tt0119395
nm0000153,tt0095963
nm0000154,tt0112573
nm0000155,tt0108147
nm0000156,tt0091064
nm0000157,tt0087050
nm0000158,tt0162222
nm0000159,tt0410975
nm0000160,tt2209418
nm0000161,tt0112851
nm0000162,tt0251160
nm0000163,tt0061722
nm0000164,tt0212985
nm0000165,tt0367279
nm0000166,tt0117998
nm0000167,tt0105104
nm0000168,tt0110912
nm0000169,tt0443272
nm0000170,tt1220634
nm0000171,tt0120679
nm0000172,tt2278388
nm0000173,tt0230600
nm0000174,tt0101761
nm0000175,tt0111161
nm0000176,tt0087884
nm0000177,tt0113117
nm0000178,tt2096673
nm0000179,tt0134119
nm0000180,tt0059113
nm0000181,tt0380623
nm0000182,tt3181822
nm0000183,tt0120611
nm0000184,tt0069704
nm0000185,tt1764651
nm0000186,tt0166924
nm0000187,tt0099422
nm0000188,tt0102250
nm0000189,tt0134084
nm0000190,tt1726669
nm0000191,tt1322269
nm0000192,tt0116287
nm0000193,tt0107211
nm0000194,tt3316960
nm0000195,tt0128445
nm0000196,tt0295178
nm0000197,tt0071315
nm0000198,tt4555426
nm0000199,tt0070666
nm0000200,tt0264616
nm0000201,tt0427327
nm0000202,tt0280707
nm0000203,tt0096018
nm0000204,tt0376541
