nm0000003,Brigitte,Bardot
nm0000006,Ingrid,Bergman
nm0000007,Humphrey,Bogart
nm0000009,Richard,Burton
nm0000011,Gary,Cooper
nm0000013,Doris,Day
nm0000018,Kirk,Douglas
nm0000020,Henry,Fonda
nm0000021,Joan,Fontaine
nm0000022,Clark,Gable
nm0000026,Cary,Grant
nm0000028,Rita,Hayworth
nm0000033,Alfred,Hitchcock
nm0000040,Stanley,Kubrick
nm0000042,Alan,Ladd
nm0000043,Veronica,Lake
nm0000044,Burt,Lancaster
nm0000045,Bruce,Lee
nm0000051,James,Mason
nm0000052,Marcello,Mastroianni
nm0000053,Robert,Mitchum
nm0000056,Paul,Newman
nm0000057,David,Niven
nm0000059,Laurence,Olivier
nm0000060,Gregory,Peck
nm0000061,Tyrone,Power
nm0000063,Anthony,Quinn
nm0000066,Jane,Russell
nm0000068,Randolph,Scott
nm0000069,Frank,Sinatra
nm0000072,Elizabeth,Taylor
nm0000076,FranĂ§ois,Truffaut
nm0000078,John,Wayne
nm0000079,Raquel,Welch
nm0000085,Henner,Hofmann
nm0000092,John,Cleese
nm0000093,Brad,Pitt
nm0000096,Gillian,Anderson
nm0000097,Pamela,Anderson
nm0000098,Jennifer,Aniston
nm0000101,Dan,Aykroyd
nm0000102,Kevin,Bacon
nm0000104,Antonio,Banderas
nm0000106,Drew,Barrymore
nm0000107,Kim,Basinger
nm0000108,Luc,Besson
nm0000110,Kenneth,Branagh
nm0000112,Pierce,Brosnan
nm0000113,Sandra,Bullock
nm0000114,Steve,Buscemi
nm0000115,Nicolas,Cage
nm0000116,James,Cameron
nm0000117,Neve,Campbell
nm0000119,Tia,Carrere
nm0000120,Jim,Carrey
nm0000123,George,Clooney
nm0000125,Sean,Connery
nm0000126,Kevin,Costner
nm0000127,Wes,Craven
nm0000128,Russell,Crowe
nm0000129,Tom,Cruise
nm0000130,Jamie,Lee
nm0000131,John,Cusack
nm0000132,Claire,Danes
nm0000133,Geena,Davis
nm0000134,Robert,De
nm0000136,Johnny,Depp
nm0000137,Bo,Derek
nm0000138,Leonardo,DiCaprio
nm0000139,Cameron,Diaz
nm0000140,Michael,Douglas
nm0000141,David,Duchovny
nm0000142,Clint,Eastwood
nm0000144,Cary,Elwes
nm0000147,Colin,Firth
nm0000148,Harrison,Ford
nm0000149,Jodie,Foster
nm0000150,Michael,J.
nm0000151,Morgan,Freeman
nm0000152,Richard,Gere
nm0000153,Gina,Gershon
nm0000154,Mel,Gibson
nm0000155,Whoopi,Goldberg
nm0000156,Jeff,Goldblum
nm0000158,Tom,Hanks
nm0000161,Salma,Hayek
nm0000162,Anne,Heche
nm0000163,Dustin,Hoffman
nm0000165,Ron,Howard
nm0000166,Helen,Hunt
nm0000167,Elizabeth,Hurley
nm0000168,Samuel,L.
nm0000170,Milla,Jovovich
nm0000171,Ashley,Judd
nm0000172,Harvey,Keitel
nm0000173,Nicole,Kidman
nm0000174,Val,Kilmer
nm0000175,Stephen,King
nm0000176,Nastassja,Kinski
nm0000179,Jude,Law
nm0000181,Heather,Locklear
nm0000182,Jennifer,Lopez
nm0000183,Traci,Lords
nm0000184,George,Lucas
nm0000185,Dolph,Lundgren
nm0000186,David,Lynch
nm0000189,Jenny,McCarthy
nm0000190,Matthew,McConaughey
nm0000192,Alyssa,Milano
nm0000193,Demi,Moore
nm0000194,Julianne,Moore
nm0000197,Jack,Nicholson
nm0000198,Gary,Oldman
nm0000200,Bill,Paxton
nm0000201,Michelle,Pfeiffer
nm0000202,Ryan,Phillippe
nm0000204,Natalie,Portman
